,arc_L_segment,end_end_dist_2_segment,file_label,file_path,frame_numer,max_arc_l,Arc_win_rgn_A,Arc_win_rgn_B,avg_arc_l_win_fil_1,avg_arc_l_win_fil_2,fil_label,Arc_win_size,max_arc_L_segment,E_bend_arr_kBT,Mean_Curvature_segment,Std_Curvature_segment,E_bend_filament_kBT,L_p,L_p_std,R_sq_fit,L_P_dist,mean_pt_curv_for_dist
0,"[8.32,16.64,24.97,33.29,41.61]","[65.86,264.06,575.43,963.88,1433.72]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.0,0.5,0.25,0.75,fil1,0.5,41.45408920894599,"[0.13,0.25,0.24,0.15,0.05]","[0.03,0.04,0.04,0.03,0.02]","[0.00,0.00,0.00,0.00,0.01]",0.8094,36.231,1.4000481995944842,1.0,10387.831,0.030647066161231785
1,"[8.30,16.61,24.91,33.22,41.52]","[67.41,274.95,616.58,1069.45,1532.13]",S_1,/Users/yogehs/Downloads/SbcC/S/1/1.csv,0.0,83.4519804990471,0.5,1.0,0.75,0.25,fil2,0.5,41.45408920894599,"[0.00,0.03,0.04,0.83,0.76]","[0.00,-0.01,-0.01,-0.05,-0.05]","[0.00,0.00,0.00,0.02,0.01]",1.6714,69.905,13.788917232922131,0.997,1549.157,-0.022758663903955603
2,"[8.28,16.57,24.85,33.13,41.41]","[66.56,252.18,537.66,903.62,1357.48]",S_1,/Users/yogehs/Downloads/SbcC/S/1/2.csv,1.0,82.96042335854567,0.0,0.5,0.25,0.75,fil1,0.5,41.45408920894599,"[0.47,0.28,0.14,0.14,0.00]","[0.06,0.05,0.04,0.03,0.00]","[0.00,0.01,0.00,0.01,0.01]",1.0331,27.639,0.24986249370579008,1.0,2209.363,0.03329015311573404
3,"[8.24,16.48,24.72,32.96,41.21]","[67.21,270.17,604.34,1040.06,1441.48]",S_1,/Users/yogehs/Downloads/SbcC/S/1/2.csv,1.0,82.96042335854567,0.5,1.0,0.75,0.25,fil2,0.5,41.45408920894599,"[0.01,0.03,0.04,0.85,0.75]","[-0.01,-0.01,-0.01,-0.06,-0.06]","[0.00,0.00,0.01,0.01,0.01]",1.6707,49.787,9.984603576611166,0.994,1585.036,-0.026362935802317924
4,"[8.28,16.57,24.85,33.13,41.42]","[66.22,259.47,567.10,949.22,1432.17]",S_1,/Users/yogehs/Downloads/SbcC/S/1/3.csv,2.0,82.9864019584757,0.0,0.5,0.25,0.75,fil1,0.5,41.45408920894599,"[0.38,0.20,0.23,0.17,0.00]","[0.05,0.04,0.04,0.03,0.00]","[0.00,0.00,0.01,0.02,0.00]",0.9842,36.92,0.9380537500982916,1.0,2730.896,0.030368585328623618
5,"[8.23,16.46,24.69,32.92,41.15]","[67.62,269.10,598.59,1018.66,1509.25]",S_1,/Users/yogehs/Downloads/SbcC/S/1/3.csv,2.0,82.9864019584757,0.5,1.0,0.75,0.25,fil2,0.5,41.45408920894599,"[0.00,0.03,0.38,0.40,0.07]","[0.00,-0.01,-0.04,-0.04,-0.02]","[0.00,0.00,0.01,0.01,0.00]",0.8825,64.688,7.1518763300200145,0.999,2928.095,-0.019128617691259685
6,"[8.49,16.98,25.47,33.95,42.44]","[68.97,244.60,505.57,868.24,1360.96]",S_1,/Users/yogehs/Downloads/SbcC/S/1/4.csv,3.0,85.07259601691332,0.0,0.5,0.25,0.75,fil1,0.5,41.45408920894599,"[0.60,0.43,0.11,0.02,0.00]","[0.08,0.07,0.03,0.01,-0.00]","[0.01,0.02,0.00,0.01,0.00]",1.1588,21.644,1.386381092418614,0.997,927.315,0.03670087061618382
7,"[8.44,16.87,25.31,33.75,42.18]","[70.35,280.93,622.95,1075.82,1618.13]",S_1,/Users/yogehs/Downloads/SbcC/S/1/4.csv,3.0,85.07259601691332,0.5,1.0,0.75,0.25,fil2,0.5,41.45408920894599,"[0.14,0.10,0.20,0.29,0.06]","[-0.02,-0.02,-0.02,-0.03,-0.01]","[0.00,0.00,0.01,0.01,0.00]",0.7924,78.239,6.067883912479219,1.0,11835.697,-0.021350095325360353
8,"[8.43,16.86,25.29,33.73,42.16]","[66.97,241.50,502.63,870.04,1381.95]",S_1,/Users/yogehs/Downloads/SbcC/S/1/5.csv,4.0,84.48207906877457,0.0,0.5,0.25,0.75,fil1,0.5,41.45408920894599,"[0.65,0.48,0.10,0.00,0.00]","[0.08,0.07,0.03,0.01,-0.00]","[0.01,0.02,0.01,0.01,0.00]",1.2336,23.711,1.8844164080321417,0.996,865.749,0.03436833959568929
9,"[8.38,16.75,25.13,33.51,41.89]","[69.83,279.38,617.81,1067.80,1595.76]",S_1,/Users/yogehs/Downloads/SbcC/S/1/5.csv,4.0,84.48207906877457,0.5,1.0,0.75,0.25,fil2,0.5,41.45408920894599,"[0.01,0.06,0.32,0.31,0.10]","[-0.00,-0.01,-0.03,-0.03,-0.02]","[0.00,0.00,0.01,0.00,0.00]",0.797,79.906,8.117432403565857,0.999,7116.164,-0.01732372005140898
10,"[8.52,17.04,25.56,34.08,42.61]","[69.07,240.94,506.77,906.74,1451.82]",S_1,/Users/yogehs/Downloads/SbcC/S/1/6.csv,5.0,85.27633553510957,0.0,0.5,0.25,0.75,fil1,0.5,41.45408920894599,"[0.70,0.66,0.04,0.00,0.00]","[0.08,0.08,0.02,-0.00,-0.00]","[0.02,0.02,0.01,0.01,0.00]",1.4054,26.573,2.76721324043256,0.995,681.016,0.029931492642839647
